COMMUNE,LISTE,ORDRE,NOM,PRENOM
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,33,CLAVER,Davys Kevin
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,34,LURON,Arlette
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,35,BOUTRIN,Marine
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,36,DELBE,Nadine Christine
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,37,LOTAUT,Jean-Michel Bernard
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,38,BELCOU,Yveline
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,39,HILAIRE,Pierre Félix
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,40,HONORIN,Yvonne
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,41,BOLIVARD,Thierry
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,42,MONLOUIS-BONNAIRE,Marlène Colette
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,43,BELTAN,Gerard
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,44,BELCOU,Saïma Naïma
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,45,BOUCHON,Pierre Benoit
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,46,MARNIER,Gwenaelle
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,47,DORVAL,Julian Michel Claude
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,48,MARIE-SAINTE,Odile
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,49,REJOUI,Jean-Michel
Fort-de-France,DEMOCRATES ET PROGRESSISTES,1,LAGUERRE,Didier
Fort-de-France,DEMOCRATES ET PROGRESSISTES,2,CHANDEY,Annie
Fort-de-France,DEMOCRATES ET PROGRESSISTES,3,JOSEPH,Claude
Fort-de-France,DEMOCRATES ET PROGRESSISTES,4,HANNIBAL ÉP CYRILLE,Elvire Léocadie
Fort-de-France,DEMOCRATES ET PROGRESSISTES,5,TOUSSAINT,Alfred
Fort-de-France,DEMOCRATES ET PROGRESSISTES,6,RANLIN,Gladys
Fort-de-France,DEMOCRATES ET PROGRESSISTES,7,DUFEAL,Rodrigue
Fort-de-France,DEMOCRATES ET PROGRESSISTES,8,VERTALE,Valérie
Fort-de-France,DEMOCRATES ET PROGRESSISTES,9,D'ABADIE-DE-LURBE,Thierry
Fort-de-France,DEMOCRATES ET PROGRESSISTES,10,ALEINS,Audrey
Fort-de-France,DEMOCRATES ET PROGRESSISTES,11,FAGOUR,Kaylan
Fort-de-France,DEMOCRATES ET PROGRESSISTES,12,DONDON,Pauline
Fort-de-France,DEMOCRATES ET PROGRESSISTES,13,ALEXANDRE,Jean-Marc
Fort-de-France,DEMOCRATES ET PROGRESSISTES,14,MIRAM-MARTHE-ROSE,Jacqueline
Fort-de-France,DEMOCRATES ET PROGRESSISTES,15,SEMINOR,Raphaël
Fort-de-France,DEMOCRATES ET PROGRESSISTES,16,RENCIOT,Juliette
Fort-de-France,DEMOCRATES ET PROGRESSISTES,17,THODIARD,Frantz
Fort-de-France,DEMOCRATES ET PROGRESSISTES,18,CHARLES,Peggy
Fort-de-France,DEMOCRATES ET PROGRESSISTES,19,ALFRED,Alain
Fort-de-France,DEMOCRATES ET PROGRESSISTES,20,DARNANUS,Chantal
Fort-de-France,DEMOCRATES ET PROGRESSISTES,21,JOUYE DE GRANDMAISON,Luc
Fort-de-France,DEMOCRATES ET PROGRESSISTES,22,FORMONT,Claude
Fort-de-France,DEMOCRATES ET PROGRESSISTES,23,JEAN-BAPTISTE,Willy
Fort-de-France,DEMOCRATES ET PROGRESSISTES,24,GUIOT,Céline
Fort-de-France,DEMOCRATES ET PROGRESSISTES,25,MYRTIL,Xenio
Fort-de-France,DEMOCRATES ET PROGRESSISTES,26,GUITTEAUD,Catherine
Fort-de-France,DEMOCRATES ET PROGRESSISTES,27,MAGIT,Ludovic
Fort-de-France,DEMOCRATES ET PROGRESSISTES,28,JACQUES,Josette
Fort-de-France,DEMOCRATES ET PROGRESSISTES,29,POIDEVAIN,André
Fort-de-France,DEMOCRATES ET PROGRESSISTES,30,FITTE-DUVAL,Elvire
Fort-de-France,DEMOCRATES ET PROGRESSISTES,31,DELINDE,Miguel
Fort-de-France,DEMOCRATES ET PROGRESSISTES,32,MICHALON,Catherine
Fort-de-France,DEMOCRATES ET PROGRESSISTES,33,BLEZES,José
Fort-de-France,DEMOCRATES ET PROGRESSISTES,34,JOACHIM,Sabrina
Fort-de-France,DEMOCRATES ET PROGRESSISTES,35,PERONET,Luc
Fort-de-France,DEMOCRATES ET PROGRESSISTES,36,MESDOUZE,Cathia
Fort-de-France,DEMOCRATES ET PROGRESSISTES,37,PAIGERAC,Yvon
Fort-de-France,DEMOCRATES ET PROGRESSISTES,38,MAJOR,Peguy
Fort-de-France,DEMOCRATES ET PROGRESSISTES,39,FILIN,Nicolas
Fort-de-France,DEMOCRATES ET PROGRESSISTES,40,BERIN MEDOUZE,Chloé
Fort-de-France,DEMOCRATES ET PROGRESSISTES,41,DACHIR,Christian
Fort-de-France,DEMOCRATES ET PROGRESSISTES,42,RELOUZAT,Anne-Emmanuelle
Fort-de-France,DEMOCRATES ET PROGRESSISTES,43,AGASSEAU,Raymond
Fort-de-France,DEMOCRATES ET PROGRESSISTES,44,JEAN-NOËL,Luciana
Fort-de-France,DEMOCRATES ET PROGRESSISTES,45,COMA,Christophe
Fort-de-France,DEMOCRATES ET PROGRESSISTES,46,LOUEMBA,Mariline
Fort-de-France,DEMOCRATES ET PROGRESSISTES,47,BOANGA,Louis-Henri
Fort-de-France,DEMOCRATES ET PROGRESSISTES,48,EUGENIE ÉPSE PERUGIEN,Anne-Marie
